Country,AQI Value,Region,Population,Area (sq. mi.),Pop. Density (per sq. mi.),Coastline (coast/area ratio),Net migration,Infant mortality (per 1000 births),GDP ($ per capita),Literacy (%),Phones (per 1000),Arable (%),Crops (%),Other (%),Climate,Birthrate,Deathrate,Agriculture,Industry,Service,Unnamed: 20,Unnamed: 21,Unnamed: 22
afghanistan,86.33333333333333,ASIA (EX. NEAR EAST)         ,31056997.0,647500.0,"48,0","0,00","23,06","163,07",700,"36,0","3,2","12,13","0,22","87,65",1,"46,6","20,34","0,38","0,24","0,38",,,
albania,77.11111111111111,EASTERN EUROPE                     ,3581655.0,28748.0,"124,6","1,26","-4,93","21,52",4500,"86,5","71,2","21,09","4,42","74,49",3,"15,11","5,22","0,232","0,188","0,579",,,
algeria,106.25,NORTHERN AFRICA                    ,32930091.0,2381740.0,"13,8","0,04","-0,39",31,6000,"70,0","78,1","3,22","0,25","96,53",1,"17,14","4,61","0,101","0,6","0,298",,,
andorra,32.0,WESTERN EUROPE                     ,71201.0,468.0,"152,1","0,00","6,6","4,05",19000,"100,0","497,2","2,22",0,"97,78",3,"8,71","6,25",,,,,,
angola,85.0,SUB-SAHARAN AFRICA                 ,12127071.0,1246700.0,"9,7","0,13",0,"191,19",1900,"42,0","7,8","2,41","0,24","97,35",,"45,11","24,2","0,096","0,658","0,246",,,
argentina,29.444444444444443,LATIN AMER. & CARIB    ,39921833.0,2766890.0,"14,4","0,18","0,61","15,18",11200,"97,1","220,4","12,31","0,48","87,21",3,"16,73","7,55","0,095","0,358","0,547",,,
armenia,51.8,C.W. OF IND. STATES ,2976372.0,29800.0,"99,9","0,00","-6,47","23,28",3500,"98,6","195,7","17,55","2,3","80,15",4,"12,07","8,23","0,239","0,343","0,418",,,
aruba,163.0,LATIN AMER. & CARIB    ,71891.0,193.0,"372,5","35,49",0,"5,89",28000,"97,0","516,1","10,53",0,"89,47",2,"11,03","6,68","0,004","0,333","0,663",,,
australia,34.0,OCEANIA                            ,20264082.0,7686850.0,"2,6","0,34","3,98","4,69",29000,"100,0","565,5","6,55","0,04","93,41",1,"12,14","7,51","0,038","0,262","0,7",,,
austria,52.708333333333336,WESTERN EUROPE                     ,8192880.0,83870.0,"97,7","0,00",2,"4,66",30000,"98,0","452,2","16,91","0,86","82,23",3,"8,74","9,76","0,018","0,304","0,678",,,
azerbaijan,61.30434782608695,C.W. OF IND. STATES ,7961619.0,86600.0,"91,9","0,00","-4,9","81,74",3400,"97,0","137,1","19,63","2,71","77,66",1,"20,74","9,75","0,141","0,457","0,402",,,
bahrain,188.0,NEAR EAST                          ,698585.0,665.0,"1050,5","24,21","1,05","17,27",16900,"89,1","281,3","2,82","5,63","91,55",1,"17,8","4,14","0,005","0,387","0,608",,,
bangladesh,98.9090909090909,ASIA (EX. NEAR EAST)         ,147365352.0,144000.0,"1023,4","0,40","-0,71","62,6",1900,"43,1","7,3","62,11","3,07","34,82",2,"29,8","8,27","0,199","0,198","0,603",,,
barbados,73.0,LATIN AMER. & CARIB    ,279912.0,431.0,"649,5","22,51","-0,31","12,5",15700,"97,4","481,9","37,21","2,33","60,46",2,"12,71","8,67","0,06","0,16","0,78",,,
belarus,35.44444444444444,C.W. OF IND. STATES ,10293011.0,207600.0,"49,6","0,00","2,54","13,37",6100,"99,6","319,1","29,55","0,6","69,85",4,"11,16","14,02","0,093","0,316","0,591",,,
belgium,44.04724409448819,WESTERN EUROPE                     ,10379067.0,30528.0,"340,0","0,22","1,23","4,68",29100,"98,0","462,6","23,28","0,4","76,32",3,"10,38","10,27","0,01","0,24","0,749",,,
belize,46.333333333333336,LATIN AMER. & CARIB    ,287730.0,22966.0,"12,5","1,68",0,"25,69",4900,"94,1","115,7","2,85","1,71","95,44",2,"28,84","5,72","0,142","0,152","0,612",,,
benin,62.0,SUB-SAHARAN AFRICA                 ,7862944.0,112620.0,"69,8","0,11",0,85,1100,"40,9","9,7","18,08","2,4","79,52",2,"38,85","12,22","0,316","0,138","0,546",,,
bhutan,26.0,ASIA (EX. NEAR EAST)         ,2279723.0,47000.0,"48,5","0,00",0,"100,44",1300,"42,2","14,3","3,09","0,43","96,48",2,"33,65","12,7","0,258","0,379","0,363",,,
bolivia (plurinational state of),25.485714285714284,,,,,,,,,,,,,,,,,,,,,,
bosnia and herzegovina,61.25,,,,,,,,,,,,,,,,,,,,,,
botswana,44.88235294117647,SUB-SAHARAN AFRICA                 ,1639833.0,600370.0,"2,7","0,00",0,"54,58",9000,"79,8","80,5","0,65","0,01","99,34",1,"23,08","29,5","0,024","0,469","0,507",,,
brazil,43.16629213483146,LATIN AMER. & CARIB    ,188078227.0,8511965.0,"22,1","0,09","-0,03","29,61",7600,"86,4","225,3","6,96","0,9","92,15",2,"16,56","6,17","0,084","0,4","0,516",,,
bulgaria,52.56818181818182,EASTERN EUROPE                     ,7385367.0,110910.0,"66,6","0,32","-4,58","20,55",7600,"98,6","336,3","40,02","1,92","58,06",3,"9,65","14,27","0,093","0,304","0,603",,,
